id,hospital_id,blood_group,component,consumption_date,units_consumed,was_emergency_surge,seasonal_dengue_index
34,14,B-,FRESH_FROZEN_PLASMA,2026-04-16,20,False,1.0
35,12,B-,WHOLE_BLOOD,2025-10-15,6,True,1.0
36,43,O-,FRESH_FROZEN_PLASMA,2026-08-25,26,True,1.0
37,26,B-,FRESH_FROZEN_PLASMA,2025-12-23,25,True,1.0
38,10,A-,PACKED_RED_BLOOD_CELLS,2026-02-14,24,True,1.0
39,47,A-,PLATELET_CONCENTRATE,2025-09-24,54,True,2.85
40,20,O+,WHOLE_BLOOD,2026-02-08,32,True,1.0
41,37,AB-,FRESH_FROZEN_PLASMA,2026-04-09,8,True,1.0
42,33,O-,FRESH_FROZEN_PLASMA,2025-10-09,16,True,1.0
43,15,AB+,PLATELET_CONCENTRATE,2026-05-28,17,False,1.0
44,47,O+,PACKED_RED_BLOOD_CELLS,2026-07-16,11,True,1.0
45,45,A-,PACKED_RED_BLOOD_CELLS,2025-12-05,23,True,1.0
46,47,AB-,WHOLE_BLOOD,2025-11-15,8,True,1.0
47,40,B-,FRESH_FROZEN_PLASMA,2026-02-23,10,False,1.0
48,13,O+,PACKED_RED_BLOOD_CELLS,2026-08-06,25,False,1.0
49,22,B-,WHOLE_BLOOD,2026-07-24,23,False,1.0
50,46,AB-,WHOLE_BLOOD,2025-09-29,13,False,1.0
51,16,A+,PLATELET_CONCENTRATE,2026-07-31,82,True,2.85
52,23,AB+,FRESH_FROZEN_PLASMA,2025-10-10,13,True,1.0
53,34,A-,PACKED_RED_BLOOD_CELLS,2026-02-01,18,True,1.0
54,47,B+,PLATELET_CONCENTRATE,2025-11-07,17,True,1.0
55,1,A+,PACKED_RED_BLOOD_CELLS,2026-09-07,5,False,1.0
56,4,B-,WHOLE_BLOOD,2026-05-20,11,False,1.0
57,46,A+,WHOLE_BLOOD,2025-10-11,6,False,1.0
58,18,A-,PLATELET_CONCENTRATE,2026-03-10,24,True,1.0
59,16,B-,WHOLE_BLOOD,2026-01-28,17,True,1.0
60,47,AB-,WHOLE_BLOOD,2025-11-10,11,True,1.0
61,32,AB-,FRESH_FROZEN_PLASMA,2026-06-05,8,False,1.0
62,11,A+,FRESH_FROZEN_PLASMA,2025-12-12,13,False,1.0
63,16,O+,FRESH_FROZEN_PLASMA,2026-06-15,15,True,1.0
64,2,B+,FRESH_FROZEN_PLASMA,2026-01-09,23,True,1.0
65,3,B-,PACKED_RED_BLOOD_CELLS,2026-03-14,24,False,1.0
66,10,O-,PLATELET_CONCENTRATE,2026-01-20,25,True,1.0
67,40,A-,PACKED_RED_BLOOD_CELLS,2025-12-05,8,False,1.0
68,19,AB+,PLATELET_CONCENTRATE,2026-05-14,4,True,1.0
69,30,O-,FRESH_FROZEN_PLASMA,2026-01-22,11,True,1.0
70,43,A+,FRESH_FROZEN_PLASMA,2026-01-23,18,True,1.0
71,18,A+,PLATELET_CONCENTRATE,2026-04-28,8,True,1.0
72,4,B-,WHOLE_BLOOD,2026-06-25,24,False,1.0
73,22,O-,PACKED_RED_BLOOD_CELLS,2026-08-10,9,False,1.0
74,35,B+,PACKED_RED_BLOOD_CELLS,2026-05-06,10,False,1.0
75,49,AB-,PLATELET_CONCENTRATE,2026-01-19,15,True,1.0
76,34,A-,PACKED_RED_BLOOD_CELLS,2026-03-23,17,True,1.0
77,49,AB-,WHOLE_BLOOD,2026-07-20,9,True,1.0
78,32,A+,PACKED_RED_BLOOD_CELLS,2025-09-22,16,False,1.0
79,20,B-,FRESH_FROZEN_PLASMA,2026-07-18,14,True,1.0
80,7,B+,PLATELET_CONCENTRATE,2026-04-05,17,False,1.0
81,45,B+,PLATELET_CONCENTRATE,2026-05-13,12,True,1.0
82,4,AB+,PACKED_RED_BLOOD_CELLS,2026-03-31,22,False,1.0
83,42,AB+,FRESH_FROZEN_PLASMA,2026-05-08,14,True,1.0
84,41,O-,PACKED_RED_BLOOD_CELLS,2026-03-08,24,False,1.0
85,35,O-,WHOLE_BLOOD,2025-09-16,24,False,1.0
86,44,A+,WHOLE_BLOOD,2026-07-02,14,True,1.0
87,23,A-,WHOLE_BLOOD,2026-01-16,7,True,1.0
88,12,O+,PLATELET_CONCENTRATE,2025-10-11,30,True,2.51
89,10,B-,FRESH_FROZEN_PLASMA,2025-11-08,9,True,1.0
90,46,B-,FRESH_FROZEN_PLASMA,2025-12-20,6,False,1.0
91,36,AB-,FRESH_FROZEN_PLASMA,2026-05-20,18,False,1.0
92,24,A-,FRESH_FROZEN_PLASMA,2026-02-03,18,True,1.0
93,14,B+,FRESH_FROZEN_PLASMA,2026-06-21,12,False,1.0
94,14,AB-,PACKED_RED_BLOOD_CELLS,2026-05-19,8,False,1.0
95,15,A-,WHOLE_BLOOD,2026-03-03,4,False,1.0
96,17,A+,PACKED_RED_BLOOD_CELLS,2026-08-17,24,False,1.0
97,10,A+,FRESH_FROZEN_PLASMA,2026-05-12,30,True,1.0
98,15,AB+,PLATELET_CONCENTRATE,2025-09-09,54,True,2.29
99,32,O-,FRESH_FROZEN_PLASMA,2025-12-07,16,False,1.0
100,13,O-,PLATELET_CONCENTRATE,2025-10-08,28,True,2.0
101,22,B-,PLATELET_CONCENTRATE,2026-05-17,8,False,1.0
102,13,A-,FRESH_FROZEN_PLASMA,2026-05-20,5,False,1.0
103,12,AB+,PACKED_RED_BLOOD_CELLS,2026-02-19,4,True,1.0
104,37,A-,PLATELET_CONCENTRATE,2026-04-04,7,True,1.0
105,8,B-,PLATELET_CONCENTRATE,2026-05-15,11,True,1.0
106,38,B+,PACKED_RED_BLOOD_CELLS,2025-10-30,17,True,1.0
107,2,A-,FRESH_FROZEN_PLASMA,2025-09-18,13,True,1.0
108,15,A+,FRESH_FROZEN_PLASMA,2026-01-15,15,False,1.0
109,44,O-,WHOLE_BLOOD,2026-08-15,11,True,1.0
110,14,B+,PLATELET_CONCENTRATE,2025-11-27,16,False,1.0
111,45,A+,PACKED_RED_BLOOD_CELLS,2026-04-21,15,True,1.0
112,8,A+,PACKED_RED_BLOOD_CELLS,2026-07-05,18,True,1.0
113,24,A+,PLATELET_CONCENTRATE,2026-03-17,16,True,1.0
114,36,B+,WHOLE_BLOOD,2026-08-04,13,False,1.0
115,28,A-,FRESH_FROZEN_PLASMA,2026-02-17,24,False,1.0
116,45,B-,WHOLE_BLOOD,2026-02-13,7,True,1.0
117,4,B-,PACKED_RED_BLOOD_CELLS,2025-11-07,24,False,1.0
118,43,A-,PLATELET_CONCENTRATE,2026-02-16,22,True,1.0
119,39,B+,PLATELET_CONCENTRATE,2026-05-04,24,False,1.0
120,5,AB-,FRESH_FROZEN_PLASMA,2026-05-14,16,False,1.0
121,39,O+,PLATELET_CONCENTRATE,2026-02-23,13,False,1.0
122,43,A+,PLATELET_CONCENTRATE,2026-04-01,12,True,1.0
123,19,A+,WHOLE_BLOOD,2026-09-04,12,True,1.0
124,15,A+,PLATELET_CONCENTRATE,2026-04-29,6,False,1.0
125,46,AB+,PLATELET_CONCENTRATE,2025-10-31,36,True,1.85
126,9,B+,FRESH_FROZEN_PLASMA,2026-03-06,4,False,1.0
127,12,AB-,PACKED_RED_BLOOD_CELLS,2025-12-09,22,True,1.0
128,34,O-,PLATELET_CONCENTRATE,2026-06-05,16,True,1.0
129,19,AB-,PACKED_RED_BLOOD_CELLS,2026-01-24,23,True,1.0
130,49,B-,PACKED_RED_BLOOD_CELLS,2026-06-11,20,True,1.0
131,22,O+,PACKED_RED_BLOOD_CELLS,2026-03-23,23,False,1.0
132,43,O-,PACKED_RED_BLOOD_CELLS,2026-08-21,33,True,1.0
133,12,AB+,FRESH_FROZEN_PLASMA,2026-01-31,11,True,1.0
134,15,B+,FRESH_FROZEN_PLASMA,2026-01-29,15,False,1.0
135,36,B+,WHOLE_BLOOD,2025-12-10,18,False,1.0
136,5,AB-,PLATELET_CONCENTRATE,2026-08-22,45,True,2.65
137,8,A-,FRESH_FROZEN_PLASMA,2025-09-19,9,True,1.0
138,8,O-,WHOLE_BLOOD,2025-10-07,15,True,1.0
139,4,AB-,FRESH_FROZEN_PLASMA,2026-01-13,15,False,1.0
140,42,AB+,PACKED_RED_BLOOD_CELLS,2026-03-30,13,True,1.0
141,24,A-,PLATELET_CONCENTRATE,2026-02-20,21,True,1.0
142,7,AB+,FRESH_FROZEN_PLASMA,2026-02-27,12,False,1.0
143,10,B+,PACKED_RED_BLOOD_CELLS,2026-01-11,13,True,1.0
144,2,AB+,PACKED_RED_BLOOD_CELLS,2025-11-09,6,True,1.0
145,41,B-,FRESH_FROZEN_PLASMA,2026-07-12,23,False,1.0
146,32,O+,PLATELET_CONCENTRATE,2025-11-16,12,False,1.0
147,23,O+,WHOLE_BLOOD,2026-05-27,9,True,1.0
148,43,A+,FRESH_FROZEN_PLASMA,2026-01-30,5,True,1.0
149,19,O-,FRESH_FROZEN_PLASMA,2026-07-25,14,True,1.0
150,38,B+,PLATELET_CONCENTRATE,2026-07-15,27,True,1.99
151,42,B-,WHOLE_BLOOD,2025-09-10,10,True,1.0
152,32,AB-,PACKED_RED_BLOOD_CELLS,2026-08-14,18,False,1.0
153,31,B+,WHOLE_BLOOD,2026-07-03,22,False,1.0
154,1,A-,PACKED_RED_BLOOD_CELLS,2026-06-26,7,False,1.0
155,8,O-,WHOLE_BLOOD,2025-11-11,35,True,1.0
156,25,B-,WHOLE_BLOOD,2026-05-25,23,True,1.0
157,12,A+,PACKED_RED_BLOOD_CELLS,2025-10-25,35,True,1.0
158,1,A-,FRESH_FROZEN_PLASMA,2025-09-16,22,False,1.0
159,50,B-,WHOLE_BLOOD,2026-05-21,14,False,1.0
160,8,B-,FRESH_FROZEN_PLASMA,2026-07-13,21,True,1.0
161,11,O-,PLATELET_CONCENTRATE,2026-01-24,23,False,1.0
162,9,AB+,FRESH_FROZEN_PLASMA,2026-04-07,25,False,1.0
163,17,B-,FRESH_FROZEN_PLASMA,2026-01-29,23,False,1.0
164,46,O-,PACKED_RED_BLOOD_CELLS,2026-01-31,21,False,1.0
165,5,A+,PACKED_RED_BLOOD_CELLS,2026-03-03,17,False,1.0
166,23,AB+,WHOLE_BLOOD,2026-01-03,17,True,1.0
167,17,A-,WHOLE_BLOOD,2026-04-04,24,False,1.0
168,19,AB-,FRESH_FROZEN_PLASMA,2026-08-02,12,True,1.0
169,47,B-,WHOLE_BLOOD,2026-07-29,19,True,1.0
170,8,A+,WHOLE_BLOOD,2026-05-10,5,True,1.0
171,8,O-,WHOLE_BLOOD,2025-10-07,8,True,1.0
172,33,A-,PLATELET_CONCENTRATE,2025-12-31,12,True,1.0
173,44,AB+,WHOLE_BLOOD,2026-03-21,14,True,1.0
174,36,A-,PLATELET_CONCENTRATE,2025-12-18,24,False,1.0
175,35,O-,PACKED_RED_BLOOD_CELLS,2026-07-06,18,False,1.0
176,12,O-,WHOLE_BLOOD,2026-07-15,25,True,1.0
177,26,O-,FRESH_FROZEN_PLASMA,2025-11-02,35,True,1.0
178,10,B-,PACKED_RED_BLOOD_CELLS,2026-02-27,16,True,1.0
179,7,A-,PLATELET_CONCENTRATE,2025-12-28,12,False,1.0
180,35,AB+,WHOLE_BLOOD,2025-12-29,18,False,1.0
181,4,A+,FRESH_FROZEN_PLASMA,2026-08-26,12,False,1.0
182,46,O+,FRESH_FROZEN_PLASMA,2025-10-25,22,False,1.0
183,35,A+,PACKED_RED_BLOOD_CELLS,2026-03-11,16,False,1.0
184,20,B-,PLATELET_CONCENTRATE,2025-10-26,17,True,1.95
185,7,B-,PLATELET_CONCENTRATE,2025-10-07,61,True,2.66
186,45,A+,WHOLE_BLOOD,2026-05-15,25,True,1.0
187,17,O+,PACKED_RED_BLOOD_CELLS,2025-12-19,23,False,1.0
188,1,O-,FRESH_FROZEN_PLASMA,2026-04-04,7,False,1.0
189,6,B-,PACKED_RED_BLOOD_CELLS,2026-08-14,25,False,1.0
190,20,A+,WHOLE_BLOOD,2025-11-20,23,True,1.0
191,32,AB+,PACKED_RED_BLOOD_CELLS,2026-04-21,12,False,1.0
192,45,AB-,FRESH_FROZEN_PLASMA,2026-02-01,17,True,1.0
193,33,A-,FRESH_FROZEN_PLASMA,2026-07-10,14,True,1.0
194,29,O+,WHOLE_BLOOD,2025-11-29,21,True,1.0
195,33,O+,WHOLE_BLOOD,2026-08-21,22,True,1.0
196,13,A+,FRESH_FROZEN_PLASMA,2026-07-01,17,False,1.0
197,44,O+,PACKED_RED_BLOOD_CELLS,2026-06-06,33,True,1.0
198,4,B-,PLATELET_CONCENTRATE,2025-09-21,29,True,2.94
199,47,A+,WHOLE_BLOOD,2026-02-11,30,True,1.0
200,3,AB-,WHOLE_BLOOD,2026-06-27,12,False,1.0
201,6,AB+,PACKED_RED_BLOOD_CELLS,2025-09-22,20,False,1.0
202,14,A+,PLATELET_CONCENTRATE,2026-07-30,45,True,2.18
203,45,O-,WHOLE_BLOOD,2026-02-05,22,True,1.0
204,6,A-,PLATELET_CONCENTRATE,2025-11-29,22,False,1.0
205,34,B-,PLATELET_CONCENTRATE,2025-12-28,17,True,1.0
206,8,O+,WHOLE_BLOOD,2026-07-05,7,True,1.0
207,2,O-,PACKED_RED_BLOOD_CELLS,2025-10-17,26,True,1.0
208,29,AB-,PACKED_RED_BLOOD_CELLS,2025-11-27,7,True,1.0
209,35,B-,FRESH_FROZEN_PLASMA,2025-12-06,25,False,1.0
210,37,A+,PLATELET_CONCENTRATE,2026-06-06,5,True,1.0
211,27,AB-,PACKED_RED_BLOOD_CELLS,2025-12-18,6,False,1.0
212,39,A-,PACKED_RED_BLOOD_CELLS,2026-05-16,16,False,1.0
213,39,B-,PACKED_RED_BLOOD_CELLS,2025-11-04,5,False,1.0
214,15,A-,PACKED_RED_BLOOD_CELLS,2025-09-16,9,False,1.0
215,25,O-,PLATELET_CONCENTRATE,2026-02-15,25,True,1.0
216,3,A-,WHOLE_BLOOD,2026-04-17,10,False,1.0
217,6,O-,WHOLE_BLOOD,2025-10-13,10,False,1.0
218,34,O+,PACKED_RED_BLOOD_CELLS,2026-03-19,5,True,1.0
219,8,O-,FRESH_FROZEN_PLASMA,2025-11-29,32,True,1.0
220,3,O+,PLATELET_CONCENTRATE,2026-07-03,30,True,2.55
221,21,A-,PACKED_RED_BLOOD_CELLS,2026-02-16,22,False,1.0
222,25,B+,FRESH_FROZEN_PLASMA,2026-01-21,25,True,1.0
223,20,A+,WHOLE_BLOOD,2026-06-19,7,True,1.0
224,5,AB-,FRESH_FROZEN_PLASMA,2026-06-14,4,False,1.0
225,7,AB+,PACKED_RED_BLOOD_CELLS,2026-05-24,4,False,1.0
226,38,A-,PLATELET_CONCENTRATE,2026-08-16,12,True,3.17
227,15,O-,FRESH_FROZEN_PLASMA,2026-02-06,14,False,1.0
228,4,AB-,PACKED_RED_BLOOD_CELLS,2026-08-15,21,False,1.0
229,4,A-,FRESH_FROZEN_PLASMA,2026-03-15,25,False,1.0
230,21,AB-,PACKED_RED_BLOOD_CELLS,2026-01-13,23,False,1.0
231,4,B-,FRESH_FROZEN_PLASMA,2026-05-16,22,False,1.0
232,19,O-,WHOLE_BLOOD,2026-03-18,16,True,1.0
233,26,B-,WHOLE_BLOOD,2026-05-10,8,True,1.0
234,9,O-,FRESH_FROZEN_PLASMA,2026-02-17,6,False,1.0
235,42,O-,WHOLE_BLOOD,2026-03-26,15,True,1.0
236,3,AB+,PLATELET_CONCENTRATE,2025-10-09,44,True,3.16
237,13,A-,PACKED_RED_BLOOD_CELLS,2026-01-14,7,False,1.0
238,9,B-,PLATELET_CONCENTRATE,2025-11-02,19,False,1.0
239,44,B-,PLATELET_CONCENTRATE,2026-03-29,24,True,1.0
240,19,B+,FRESH_FROZEN_PLASMA,2026-02-18,6,True,1.0
241,21,B-,PACKED_RED_BLOOD_CELLS,2026-04-12,10,False,1.0
242,13,O-,WHOLE_BLOOD,2026-01-07,7,False,1.0
243,36,A+,PLATELET_CONCENTRATE,2026-08-17,16,True,2.08
244,35,A-,PLATELET_CONCENTRATE,2026-05-23,25,False,1.0
245,20,A+,PLATELET_CONCENTRATE,2026-06-21,14,True,1.0
246,49,O+,FRESH_FROZEN_PLASMA,2025-11-28,21,True,1.0
247,43,A-,PACKED_RED_BLOOD_CELLS,2026-04-24,24,True,1.0
248,39,A+,WHOLE_BLOOD,2026-02-21,19,False,1.0
249,30,O-,WHOLE_BLOOD,2026-02-07,18,True,1.0
250,25,B+,PACKED_RED_BLOOD_CELLS,2026-03-22,4,True,1.0
251,42,A+,PACKED_RED_BLOOD_CELLS,2025-09-08,7,True,1.0
252,40,AB-,FRESH_FROZEN_PLASMA,2025-09-09,22,False,1.0
253,6,A-,FRESH_FROZEN_PLASMA,2026-08-14,10,False,1.0
254,10,B+,WHOLE_BLOOD,2026-03-23,24,True,1.0
255,43,A+,PLATELET_CONCENTRATE,2026-02-10,29,True,1.0
256,18,O-,PACKED_RED_BLOOD_CELLS,2025-09-13,16,True,1.0
257,30,B+,FRESH_FROZEN_PLASMA,2026-03-15,19,True,1.0
258,5,B+,WHOLE_BLOOD,2026-05-17,18,False,1.0
259,11,A+,WHOLE_BLOOD,2025-12-03,5,False,1.0
260,4,A+,PACKED_RED_BLOOD_CELLS,2026-03-03,12,False,1.0
261,28,O+,PACKED_RED_BLOOD_CELLS,2026-05-14,23,False,1.0
262,30,AB+,PLATELET_CONCENTRATE,2026-07-26,23,True,2.31
263,38,O+,PACKED_RED_BLOOD_CELLS,2025-10-19,22,True,1.0
264,50,AB+,WHOLE_BLOOD,2026-09-02,20,False,1.0
265,3,AB+,PACKED_RED_BLOOD_CELLS,2026-03-07,19,False,1.0
266,12,AB+,FRESH_FROZEN_PLASMA,2026-06-01,22,True,1.0
267,32,AB+,PACKED_RED_BLOOD_CELLS,2026-07-09,16,False,1.0
268,41,AB+,FRESH_FROZEN_PLASMA,2025-12-17,19,False,1.0
269,21,O-,PLATELET_CONCENTRATE,2026-07-12,35,True,2.94
270,9,O+,WHOLE_BLOOD,2025-10-11,5,False,1.0
271,39,AB-,PLATELET_CONCENTRATE,2026-08-22,32,True,2.13
272,44,B-,PACKED_RED_BLOOD_CELLS,2026-08-10,22,True,1.0
273,13,O-,PACKED_RED_BLOOD_CELLS,2026-05-10,15,False,1.0
274,40,B+,WHOLE_BLOOD,2025-10-10,6,False,1.0
275,20,O-,PLATELET_CONCENTRATE,2026-02-02,18,True,1.0
276,11,B-,WHOLE_BLOOD,2026-04-06,15,False,1.0
277,46,AB+,PLATELET_CONCENTRATE,2025-12-29,8,False,1.0
278,16,O+,PACKED_RED_BLOOD_CELLS,2026-08-06,35,True,1.0
279,29,O+,PACKED_RED_BLOOD_CELLS,2026-01-13,8,True,1.0
280,38,AB+,FRESH_FROZEN_PLASMA,2026-04-17,17,True,1.0
281,19,AB+,FRESH_FROZEN_PLASMA,2025-12-16,24,True,1.0
282,30,A+,WHOLE_BLOOD,2026-03-14,12,True,1.0
283,9,A-,FRESH_FROZEN_PLASMA,2025-09-27,22,False,1.0
284,15,B+,PACKED_RED_BLOOD_CELLS,2026-03-20,14,False,1.0
285,25,O-,PACKED_RED_BLOOD_CELLS,2026-08-01,12,True,1.0
286,32,B-,WHOLE_BLOOD,2026-03-30,6,False,1.0
287,17,A-,PLATELET_CONCENTRATE,2026-06-23,6,False,1.0
288,31,A+,PLATELET_CONCENTRATE,2026-08-13,13,True,2.69
289,27,O-,WHOLE_BLOOD,2026-04-21,9,False,1.0
290,32,A+,WHOLE_BLOOD,2025-12-01,6,False,1.0
291,38,O-,PACKED_RED_BLOOD_CELLS,2026-03-25,8,True,1.0
292,3,B+,PACKED_RED_BLOOD_CELLS,2025-10-10,12,False,1.0
293,46,AB-,PACKED_RED_BLOOD_CELLS,2026-03-12,6,False,1.0
294,49,AB+,PLATELET_CONCENTRATE,2025-11-12,21,True,1.0
295,37,B+,PACKED_RED_BLOOD_CELLS,2026-01-23,6,True,1.0
296,24,AB-,FRESH_FROZEN_PLASMA,2026-08-11,7,True,1.0
297,23,B-,PACKED_RED_BLOOD_CELLS,2026-08-18,18,True,1.0
298,18,O-,PACKED_RED_BLOOD_CELLS,2026-08-15,21,True,1.0
299,37,A+,FRESH_FROZEN_PLASMA,2026-04-06,18,True,1.0
300,5,O-,FRESH_FROZEN_PLASMA,2025-09-18,13,False,1.0
301,28,AB-,FRESH_FROZEN_PLASMA,2026-04-30,14,False,1.0
302,6,AB+,PLATELET_CONCENTRATE,2025-11-12,4,False,1.0
303,9,A-,PLATELET_CONCENTRATE,2026-08-09,65,True,2.6
304,4,O-,FRESH_FROZEN_PLASMA,2026-04-10,7,False,1.0
305,27,B+,WHOLE_BLOOD,2026-03-10,18,False,1.0
306,31,A-,PLATELET_CONCENTRATE,2025-12-01,23,False,1.0
307,3,O-,PACKED_RED_BLOOD_CELLS,2025-10-06,9,False,1.0
308,34,AB-,FRESH_FROZEN_PLASMA,2026-07-30,20,True,1.0
309,9,B-,PLATELET_CONCENTRATE,2026-01-01,20,False,1.0
310,22,A-,WHOLE_BLOOD,2025-10-05,7,False,1.0
311,37,A+,PLATELET_CONCENTRATE,2026-01-06,11,True,1.0
312,45,O-,PACKED_RED_BLOOD_CELLS,2026-04-22,22,True,1.0
313,28,O+,FRESH_FROZEN_PLASMA,2025-10-21,17,False,1.0
314,14,AB+,PLATELET_CONCENTRATE,2025-12-20,5,False,1.0
315,41,O-,PACKED_RED_BLOOD_CELLS,2025-11-05,22,False,1.0
316,48,AB+,FRESH_FROZEN_PLASMA,2026-01-18,12,True,1.0
317,33,A+,WHOLE_BLOOD,2026-01-02,22,True,1.0
318,5,B+,WHOLE_BLOOD,2025-10-29,9,False,1.0
319,47,O+,PLATELET_CONCENTRATE,2026-06-28,28,True,1.0
320,13,B-,FRESH_FROZEN_PLASMA,2025-10-07,12,False,1.0
321,46,B-,WHOLE_BLOOD,2026-05-07,18,False,1.0
322,30,O+,PLATELET_CONCENTRATE,2026-07-15,66,True,2.55
323,9,O+,PLATELET_CONCENTRATE,2026-04-04,5,False,1.0
324,24,O+,PACKED_RED_BLOOD_CELLS,2026-01-24,9,True,1.0
325,36,B+,PLATELET_CONCENTRATE,2026-02-08,6,False,1.0
326,41,A-,PACKED_RED_BLOOD_CELLS,2026-07-01,24,False,1.0
327,27,B+,PLATELET_CONCENTRATE,2026-06-05,25,False,1.0
328,20,B+,FRESH_FROZEN_PLASMA,2025-10-02,20,True,1.0
329,31,O+,PLATELET_CONCENTRATE,2026-07-12,58,True,2.43
330,7,A-,PACKED_RED_BLOOD_CELLS,2026-01-07,11,False,1.0
331,33,B+,PACKED_RED_BLOOD_CELLS,2026-05-20,23,True,1.0
332,33,AB+,PACKED_RED_BLOOD_CELLS,2026-07-23,18,True,1.0
333,6,A+,PLATELET_CONCENTRATE,2026-08-04,30,True,2.21
334,5,A-,WHOLE_BLOOD,2026-01-03,23,False,1.0
335,16,A-,WHOLE_BLOOD,2026-06-29,18,True,1.0
336,45,AB+,WHOLE_BLOOD,2026-09-06,9,True,1.0
337,30,O-,WHOLE_BLOOD,2026-08-16,32,True,1.0
338,3,A-,PLATELET_CONCENTRATE,2026-02-03,25,False,1.0
339,37,A+,WHOLE_BLOOD,2026-04-26,22,True,1.0
340,46,AB-,PLATELET_CONCENTRATE,2026-01-06,16,False,1.0
341,15,B-,PACKED_RED_BLOOD_CELLS,2025-10-24,22,False,1.0
342,42,O+,FRESH_FROZEN_PLASMA,2026-04-19,12,True,1.0
343,20,O+,WHOLE_BLOOD,2026-01-28,35,True,1.0
344,50,O+,FRESH_FROZEN_PLASMA,2025-09-24,7,False,1.0
345,28,B+,WHOLE_BLOOD,2025-10-11,25,False,1.0
346,18,A-,FRESH_FROZEN_PLASMA,2025-11-15,7,True,1.0
347,16,A+,PLATELET_CONCENTRATE,2025-12-06,19,True,1.0
348,42,A-,WHOLE_BLOOD,2026-03-08,5,True,1.0
349,40,AB+,PLATELET_CONCENTRATE,2025-11-14,6,False,1.0
350,22,A+,FRESH_FROZEN_PLASMA,2026-05-19,12,False,1.0
351,18,AB-,FRESH_FROZEN_PLASMA,2025-09-15,25,True,1.0
352,4,O+,PACKED_RED_BLOOD_CELLS,2026-07-09,6,False,1.0
353,36,A+,PLATELET_CONCENTRATE,2026-02-14,12,False,1.0
354,2,AB-,WHOLE_BLOOD,2026-04-29,19,True,1.0
355,43,A+,FRESH_FROZEN_PLASMA,2026-02-19,18,True,1.0
356,40,O+,PACKED_RED_BLOOD_CELLS,2025-11-02,14,False,1.0
357,21,B+,WHOLE_BLOOD,2025-09-24,15,False,1.0
358,36,O-,FRESH_FROZEN_PLASMA,2026-01-09,11,False,1.0
359,13,AB-,WHOLE_BLOOD,2026-02-16,25,False,1.0
360,24,AB+,FRESH_FROZEN_PLASMA,2026-05-13,15,True,1.0
361,22,AB-,FRESH_FROZEN_PLASMA,2025-10-26,11,False,1.0
362,47,B+,WHOLE_BLOOD,2025-09-15,13,True,1.0
363,39,AB+,PLATELET_CONCENTRATE,2026-02-14,8,False,1.0
364,40,B+,PLATELET_CONCENTRATE,2025-10-06,43,True,2.71
365,5,A-,FRESH_FROZEN_PLASMA,2025-12-06,19,False,1.0
